epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,48350.7,1.00711,0.39923,0.0066,0.81323,0.73054,0.75805,0.38229,2.08316,1.26912,0.01902,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,50084.8,0.99168,0.39252,0.0065,0.8261,0.72674,0.75732,0.38155,2.08249,1.26729,0.01905,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,51692.6,0.97361,0.38394,0.0063,0.81891,0.73411,0.75784,0.38279,2.08565,1.26578,0.0191,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,53287.1,0.96659,0.37979,0.00625,0.82207,0.72936,0.75768,0.38236,2.08583,1.26524,0.01911,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,54827,0.95405,0.37653,0.00611,0.82637,0.72912,0.75744,0.38401,2.08325,1.26994,0.0191,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,56321.6,0.94073,0.36251,0.00598,0.82464,0.72574,0.75666,0.38466,2.08252,1.27714,0.01906,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,57761.1,0.92864,0.36611,0.00587,0.8192,0.73562,0.75827,0.38494,2.08245,1.26905,0.01908,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,59155.8,0.91407,0.35734,0.00577,0.8256,0.73524,0.75726,0.38518,2.0743,1.28224,0.01899,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,60552.4,0.89835,0.34413,0.00561,0.82524,0.73679,0.75741,0.38518,2.07528,1.28634,0.0191,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,61970.9,0.88566,0.34103,0.00556,0.83587,0.72543,0.7571,0.3838,2.08065,1.29137,0.01919,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,63396.7,0.87728,0.33463,0.00547,0.83517,0.72324,0.7562,0.3823,2.08712,1.29651,0.01929,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
